epoch,loss
1,0.7353857259584379
2,0.45849619824675064
3,0.34743531604733646
4,0.28611517292034777
5,0.2538993983894964
6,0.23343449133106425
7,0.22329929037184654
8,0.2132268200003648
9,0.2036902119370201
10,0.1949846017162634
11,0.19120594939287705
12,0.1783878891434096
13,0.16874555507792702
14,0.15888434214682517
15,0.14220617030146002
16,0.13704284412574164
17,0.12965504999590827
18,0.12149347313031365
19,0.11805331009098247
20,0.11210734897022005
21,0.10989504312224026
22,0.09635447755550282
23,0.09944161859965778
24,0.09908845841507369
25,0.09452568477939201
26,0.08889688101090208
27,0.08973203766855258
28,0.08594651022760928
29,0.07760625221778321
30,0.07522118188252178
